ano_ingresso,ano_nasc,ano_referencia,atingiu_pv,ativo_inativo,avaliador_1,avaliador_2,avaliador_3,avaliador_4,avaliador_5,avaliador_6,cf,cg,ct,defasagem,destaque_ida,destaque_ieh,destaque_ipv,escola,fase,fase_ideal,genero,iaa,ian,ida,idade,ieg,inde_2023,inde_2024,inde_22,inde_23,indicado,ingles,instituicao_de_ensino,ipp,ips,ipv,matematica,num_av,pedra_20,pedra_2023,pedra_2024,pedra_21,pedra_22,pedra_23,portugues,rec_av1,rec_av2,rec_av3,rec_av4,rec_psicologia,turma,inde,pedra,genero_NUM,pedra_20_NUM,pedra_2023_NUM,pedra_2024_NUM,pedra_21_NUM,pedra_22_NUM,pedra_23_NUM,pedra_NUM,risco_evasao,classificacao,predicao
2021,2012.0,,1,,Avaliador-13,Avaliador-3,,,,,92.0,316.0,4.0,-2.0,Melhorar: Empenhar-se mais nas aulas e avaliações.,Destaque: A sua boa entrega das lições de casa.,Destaque: A sua boa integração aos Princípios Passos Mágicos.,,0.0,Fase 2 (5º e 6º ano),Feminino,9.0,5.0,7.3,12.0,9.0,,7.7730935185,7.485,7.5595,Não,6.7,Escola Pública,7.5,5.6,8.583,7.8,2.0,,Ametista,Ametista,Ametista,Ametista,,6.7,Promovido de Fase,Promovido de Fase,Não avaliado,,Sem limitações,J,7.485,,1,0.0,2.0,2.0,2.0,2.0,0.0,0.0,0.9988677687665185,Alto,1
2022,2013.0,,1,,Avaliador-13,Avaliador-3,,,,,37.0,131.0,1.0,-1.0,Destaque: As suas boas notas na Passos Mágicos.,Destaque: A sua boa entrega das lições de casa.,Destaque: A sua boa integração aos Princípios Passos Mágicos.,,0.0,Fase 1 (4º ano),Feminino,9.5,5.0,9.0,12.0,9.2,,7.7730935185,8.058,7.5595,Não,6.7,Escola Pública,7.5,5.6,9.167,8.5,2.0,,Ametista,Ametista,,Ametista,,9.5,Promovido de Fase,Promovido de Fase,Não avaliado,,Sem limitações,J,8.058,,1,0.0,2.0,2.0,0.0,2.0,0.0,0.0,0.998637071410466,Alto,1
2022,2011.0,,1,,Avaliador-4,Avaliador-2,,,,,64.0,249.0,1.0,-1.0,Destaque: As suas boas notas na Passos Mágicos.,Destaque: A sua boa entrega das lições de casa.,Destaque: A sua boa integração aos Princípios Passos Mágicos.,,1.0,Fase 2 (5º e 6º ano),Feminino,8.5,5.0,7.5,12.0,9.3,,7.7730935185,7.665,7.5595,Não,6.7,Escola Pública,7.5,6.9,8.417,6.8,2.0,,Ametista,Ametista,,Ametista,,8.2,Mantido na Fase atual,Promovido de Fase,Não avaliado,,Sem limitações,F,7.665,,1,0.0,2.0,2.0,0.0,2.0,0.0,0.0,0.9983692248551083,Alto,1
2022,2011.0,,1,,Avaliador-4,Avaliador-2,,,,,43.0,185.0,3.0,-1.0,Melhorar: Empenhar-se mais nas aulas e avaliações.,Destaque: A sua boa entrega das lições de casa.,Destaque: A sua boa integração aos Princípios Passos Mágicos.,,1.0,Fase 2 (5º e 6º ano),Masculino,9.0,5.0,7.4,12.0,9.0,,7.7730935185,7.856,7.5595,Sim,6.7,Escola Pública,7.5,7.5,8.833,9.5,2.0,,Ametista,Ametista,,Ametista,,5.3,Promovido de Fase + Bolsa,Promovido de Fase,Não avaliado,,Sem limitações,H,7.856,,0,0.0,2.0,2.0,0.0,2.0,0.0,0.0,0.9983246202978988,Alto,1
2022,2013.0,,1,,Avaliador-13,Avaliador-3,,,,,24.0,92.0,1.0,-1.0,Destaque: As suas boas notas na Passos Mágicos.,Destaque: A sua boa entrega das lições de casa.,Destaque: A sua boa integração aos Princípios Passos Mágicos.,,0.0,Fase 1 (4º ano),Masculino,10.0,5.0,8.8,12.0,9.2,,7.7730935185,8.179,7.5595,Não,6.7,Escola Pública,7.5,7.5,8.833,8.8,2.0,,Ametista,Ametista,,Topázio,,8.8,Promovido de Fase,Promovido de Fase,Não avaliado,,Não atendido,U,8.179,,0,0.0,2.0,2.0,0.0,3.0,0.0,0.0,0.9983241255738506,Alto,1
2022,2012.0,,1,,Avaliador-5,Avaliador-2,,,,,39.0,160.0,2.0,-1.0,Destaque: As suas boas notas na Passos Mágicos.,Destaque: A sua boa entrega das lições de casa.,Destaque: A sua boa integração aos Princípios Passos Mágicos.,,1.0,Fase 2 (5º e 6º ano),Masculino,9.5,5.0,7.8,12.0,9.1,,7.7730935185,7.929,7.5595,Não,6.7,Escola Pública,7.5,7.5,8.833,8.0,2.0,,Ametista,Ametista,,Ametista,,7.5,Mantido na Fase atual,Promovido de Fase,Não avaliado,,Não atendido,U,7.929,,0,0.0,2.0,2.0,0.0,2.0,0.0,0.0,0.9982166987562842,Alto,1
2020,2011.0,,1,,Avaliador-4,Avaliador-2,,,,,18.0,81.0,2.0,-1.0,Destaque: As suas boas notas na Passos Mágicos.,Destaque: A sua boa entrega das lições de casa.,Destaque: A sua boa integração aos Princípios Passos Mágicos.,,1.0,Fase 2 (5º e 6º ano),Feminino,10.0,5.0,8.5,12.0,9.2,,7.7730935185,8.22,7.5595,Sim,6.7,Escola Pública,7.5,7.5,8.833,9.0,2.0,Topázio,Ametista,Ametista,Ametista,Topázio,,8.0,Promovido de Fase + Bolsa,Promovido de Fase,Não avaliado,,Sem limitações,H,8.22,Topázio,1,3.0,2.0,2.0,2.0,3.0,0.0,3.0,0.9981522857864934,Alto,1
2022,2012.0,,1,,Avaliador-4,Avaliador-2,,,,,19.0,85.0,2.0,-1.0,Destaque: As suas boas notas na Passos Mágicos.,Destaque: A sua boa entrega das lições de casa.,Destaque: A sua boa integração aos Princípios Passos Mágicos.,,1.0,Fase 2 (5º e 6º ano),Masculino,9.5,5.0,9.1,12.0,9.2,,7.7730935185,8.2,7.5595,Sim,6.7,Escola Pública,7.5,7.5,8.556,8.3,3.0,,Ametista,Ametista,,Topázio,,9.8,Promovido de Fase,Promovido de Fase,Promovido de Fase + Bolsa,,Sem limitações,L,8.2,,0,0.0,2.0,2.0,0.0,3.0,0.0,0.0,0.9980994703595996,Alto,1
2021,2011.0,,1,,Avaliador-4,Avaliador-2,,,,,44.0,186.0,4.0,-1.0,Destaque: As suas boas notas na Passos Mágicos.,Destaque: A sua boa entrega das lições de casa.,Destaque: A sua boa integração aos Princípios Passos Mágicos.,,1.0,Fase 2 (5º e 6º ano),Feminino,8.0,5.0,8.0,12.0,9.0,,7.7730935185,7.855,7.5595,Não,6.7,Escola Pública,7.5,7.5,8.75,8.3,2.0,,Ametista,Ametista,Ametista,Ametista,,7.7,Promovido de Fase,Promovido de Fase,Não avaliado,,Sem limitações,H,7.855,,1,0.0,2.0,2.0,2.0,2.0,0.0,0.0,0.9980074755472832,Alto,1
2021,2011.0,,1,,Avaliador-13,Avaliador-3,,,,,25.0,94.0,2.0,-2.0,Destaque: As suas boas notas na Passos Mágicos.,Destaque: A sua boa entrega das lições de casa.,Destaque: A sua boa integração aos Princípios Passos Mágicos.,,0.0,Fase 2 (5º e 6º ano),Masculino,9.0,5.0,8.8,12.0,9.2,,7.7730935185,8.172,7.5595,Não,6.7,Escola Pública,7.5,7.5,8.917,9.3,2.0,,Ametista,Ametista,Ametista,Topázio,,8.2,Promovido de Fase,Promovido de Fase,Não avaliado,,Não atendido,L,8.172,,0,0.0,2.0,2.0,2.0,3.0,0.0,0.0,0.9979893623820036,Alto,1
