ano_ingresso,ano_nasc,ano_referencia,atingiu_pv,ativo_inativo,avaliador_1,avaliador_2,avaliador_3,avaliador_4,avaliador_5,avaliador_6,cf,cg,ct,defasagem,destaque_ida,destaque_ieh,destaque_ipv,escola,fase,fase_ideal,genero,iaa,ian,ida,idade,ieg,inde_2023,inde_2024,inde_22,inde_23,indicado,ingles,instituicao_de_ensino,ipp,ips,ipv,matematica,num_av,pedra_20,pedra_2023,pedra_2024,pedra_21,pedra_22,pedra_23,portugues,rec_av1,rec_av2,rec_av3,rec_av4,rec_psicologia,turma,inde,pedra,genero_NUM,pedra_20_NUM,pedra_2023_NUM,pedra_2024_NUM,pedra_21_NUM,pedra_22_NUM,pedra_23_NUM,pedra_NUM
2017,2004,,0,,Avaliador-5,Avaliador-27,Avaliador-28,Avaliador-31,,,11.0,550.0,5.0,-1.0,Destaque: As suas boas notas na Passos Mágicos.,Destaque: A sua boa entrega das lições de casa.,Destaque: A sua boa integração aos Princípios Passos Mágicos.,,7.0,Fase 8 (Universitários),Masculino,0.0,5.0,7.6,12.0,8.4,,7.7730935185,6.818,7.5595,Não,9.0,Rede Decisão,7.5,7.5,7.667,8.2,4.0,Ametista,Ametista,Ametista,Ametista,Ágata,nan,5.7,Promovido de Fase,Promovido de Fase + Bolsa,Promovido de Fase + Bolsa,Mantido na Fase atual,Sem limitações,A,6.818,Ametista,0,2.0,2.0,2.0,2.0,1.0,0.0,2.0
2021,,,0,Cursando,Avaliador-23,Avaliador-24,Avaliador-1,Avaliador-7,nan,nan,67.0,430.5,6.0,1.0,nan,nan,nan,EE Leonice de Aquino Oliveira,2.0,Fase 4 (9° ano),Masculino,7.1,10.0,6.5,15.0,8.7,,7.489282456,6.93,6.579,nan,7.0,Pública,7.5,5.6,7.1,5.5,4.0,Ametista,Ametista,Ametista,Ametista,Ágata,Agata,7.0,nan,nan,,,nan,5M,7.489282456,Ametista,0,2.0,2.0,2.0,2.0,1.0,1.0,2.0
2024,,,0,Cursando,Avaliador-21,Avaliador-20,Avaliador-26,nan,nan,nan,67.0,430.5,6.0,-1.0,nan,nan,nan,EE Loris Nassif Mattar Profa,2.0,Fase 5 (1° EM),Feminino,8.3,5.0,6.7,12.0,9.5,,7.0,7.306,7.5595,nan,8.0,Pública,6.4,5.6,8.4,7.5,3.0,nan,Ametista,Ametista,nan,nan,nan,4.5,nan,nan,,,nan,4C,7.0,nan,1,0.0,2.0,2.0,0.0,0.0,0.0,0.0
2022,2013,,1,,Avaliador-4,Avaliador-2,nan,nan,,,21.0,91.0,3.0,0.0,Melhorar: Empenhar-se mais nas aulas e avaliações.,Destaque: A sua boa entrega das lições de casa.,Destaque: A sua boa integração aos Princípios Passos Mágicos.,,1.0,Fase 1 (4º ano),Feminino,9.0,10.0,6.5,12.0,9.6,,7.7730935185,8.18,7.5595,Não,6.7,Escola Pública,7.5,7.5,8.5,6.0,3.0,nan,Ametista,Ametista,nan,Topázio,nan,7.0,Mantido na Fase atual,Promovido de Fase,Mantido na Fase atual,nan,Sem limitações,L,8.18,nan,1,0.0,2.0,2.0,0.0,3.0,0.0,0.0
2022,2005,,0,,Avaliador-6,Avaliador-27,Avaliador-30,Avaliador-31,,,131.0,830.0,7.0,-4.0,Melhorar: Empenhar-se mais nas aulas e avaliações.,Melhorar: Melhorar a sua entrega de lições de casa.,Melhorar: Integrar-se mais aos Princípios Passos Mágicos.,,3.0,Fase 7 (3º EM),Feminino,10.0,2.5,1.7,12.0,3.9,,7.7730935185,4.929,7.5595,Não,1.8,Escola Pública,7.5,6.3,6.042,1.0,4.0,nan,Ametista,Ametista,nan,Quartzo,nan,2.3,Mantido na Fase atual,Mantido na Fase atual,Mantido na Fase atual,Mantido na Fase atual,Sem limitações,L,4.929,nan,1,0.0,2.0,2.0,0.0,0.0,0.0,0.0
2021,,,0,Cursando,nan,nan,nan,nan,nan,nan,67.0,430.5,6.0,1.0,nan,nan,nan,Universidade Santo Amaro (UNISA),9.0,Fase 8 (Universitários),Feminino,8.8,10.0,6.7,12.0,8.7,,7.7730935185,7.306,7.5595,nan,6.7,Privada,7.5,7.5,7.5875,6.3,0.0,nan,Ametista,INCLUIR,nan,nan,nan,6.7,nan,nan,,,nan,9,,nan,1,0.0,2.0,0.0,0.0,0.0,0.0,0.0
"202300,00%",,,0,,Avaliador-15,Avaliador-4,Avaliador-3,nan,,,67.0,430.5,6.0,0.0,nan,nan,nan,,2.0,Fase 1 (3° e 4° ano),Masculino,0.0,10.0,5.3,12.0,9.0,7,7.7730935185,7.306,7.5595,nan,6.7,Pública,7.9,7.5,7.833333333,5.0,3.0,nan,Agata,Ametista,nan,nan,nan,5.5,nan,nan,nan,nan,nan,1H,7,nan,0,0.0,1.0,2.0,0.0,0.0,0.0,0.0
"202100,00%",,,0,Cursando,Avaliador-21,Avaliador-23,Avaliador-26,Avaliador-17,nan,nan,67.0,430.5,6.0,0.0,nan,nan,nan,EE Joaquim Mendes Feliz,2.0,Fase 3 (7° e 8° ano),Feminino,7.9,10.0,5.0,12.0,8.9,,7.0,7.456,7.839,nan,4.0,Pública,6.9,8.1,6.9,6.5,4.0,Ametista,Ametista,Ametista,Ametista,Ametista,Ametista,4.5,nan,nan,,,nan,3I,7.0,Ametista,1,2.0,2.0,2.0,2.0,2.0,2.0,2.0
2021,,,0,Cursando,nan,nan,nan,nan,nan,nan,67.0,430.5,6.0,0.0,nan,nan,nan,Universidade Santo Amaro (UNISA),2.0,Fase 8 (Universitários),Feminino,8.8,10.0,6.7,12.0,8.7,,7.7730935185,7.306,7.5595,nan,6.7,Privada,7.5,7.5,7.5875,6.3,0.0,nan,Ametista,#DIV/0!,nan,nan,nan,6.7,nan,nan,,,nan,8D,,nan,1,0.0,2.0,0.0,0.0,0.0,0.0,0.0
"202100,00%",,,0,Cursando,Avaliador-21,Avaliador-20,Avaliador-26,nan,nan,nan,67.0,430.5,6.0,1.0,nan,nan,nan,EE Joaquim Mendes Feliz,2.0,Fase 3 (7° e 8° ano),Feminino,9.2,10.0,5.5,12.0,7.2,,7.0,6.606,7.627,nan,8.0,Pública,7.5,6.3,8.3,4.0,3.0,Ametista,Ametista,Ametista,Ágata,Ágata,Ametista,4.5,nan,nan,,,nan,4C,7.0,Ametista,1,2.0,2.0,2.0,1.0,1.0,2.0,2.0
