ano_ingresso,ano_nasc,ano_referencia,atingiu_pv,ativo_inativo,avaliador_1,avaliador_2,avaliador_3,avaliador_4,avaliador_5,avaliador_6,cf,cg,ct,data_nascimento,defasagem,destaque_ida,destaque_ieh,destaque_ipv,escola,fase,fase_ideal,genero,iaa,ian,ida,idade,ieg,inde_2023,inde_2024,inde_22,inde_23,indicado,ingles,instituicao_de_ensino,ipp,ips,ipv,matematica,nome_anonimizado,num_av,pedra_20,pedra_2023,pedra_2024,pedra_21,pedra_22,pedra_23,portugues,ra,rec_av1,rec_av2,rec_av3,rec_av4,rec_psicologia,turma,inde,pedra,pedra_20_NUM,pedra_2023_NUM,pedra_2024_NUM,pedra_21_NUM,pedra_22_NUM,pedra_23_NUM,pedra_NUM
2016,2003,2022,0,,Avaliador-5,Avaliador-27,Avaliador-28,Avaliador-31,,,18.0,753.0,10.0,2003-01-01 00:00:00,-1.0,Melhorar: Empenhar-se mais nas aulas e avaliações.,Melhorar: Melhorar a sua entrega de lições de casa.,Melhorar: Integrar-se mais aos Princípios Passos Mágicos.,,7,Fase 8 (Universitários),Feminino,8.3,5.0,4.0,19,4.1,,,5.783,,Sim,6.0,Escola Pública,,5.6,7.278,2.7,Aluno-1,4.0,Ametista,,,Ametista,Quartzo,,3.5,RA-1,Mantido na Fase atual,Promovido de Fase + Bolsa,Promovido de Fase,Mantido na Fase atual,Requer avaliação,A,5.783,Ametista,3.0,0.0,0.0,3.0,1.0,0.0,3.0
2017,2005,2022,0,,Avaliador-5,Avaliador-27,Avaliador-28,Avaliador-31,,,8.0,469.0,3.0,2005-01-01 00:00:00,0.0,Melhorar: Empenhar-se mais nas aulas e avaliações.,Melhorar: Melhorar a sua entrega de lições de casa.,Melhorar: Integrar-se mais aos Princípios Passos Mágicos.,,7,Fase 7 (3º EM),Feminino,8.8,10.0,6.8,17,5.2,,,7.055,,Não,9.7,Rede Decisão,,6.3,6.778,6.3,Aluno-2,4.0,Ametista,,,Ametista,Ametista,,4.5,RA-2,Promovido de Fase,Promovido de Fase + Bolsa,Promovido de Fase,Promovido de Fase + Bolsa,Sem limitações,A,7.055,Ametista,3.0,0.0,0.0,3.0,3.0,0.0,3.0
2016,2005,2022,0,,Avaliador-5,Avaliador-27,Avaliador-28,Avaliador-31,,,13.0,629.0,6.0,2005-01-01 00:00:00,0.0,Melhorar: Empenhar-se mais nas aulas e avaliações.,Destaque: A sua boa entrega das lições de casa.,Destaque: A sua boa integração aos Princípios Passos Mágicos.,,7,Fase 7 (3º EM),Feminino,0.0,10.0,5.6,17,7.9,,,6.591,,Não,6.9,Rede Decisão,,5.6,7.556,5.8,Aluno-3,4.0,Ametista,,,Ametista,Ágata,,4.0,RA-3,Promovido de Fase,Promovido de Fase + Bolsa,Promovido de Fase + Bolsa,Promovido de Fase + Bolsa,Sem limitações,A,6.591,Ametista,3.0,0.0,0.0,3.0,2.0,0.0,3.0
2017,2005,2022,0,,Avaliador-5,Avaliador-27,Avaliador-28,Avaliador-31,,,15.0,731.0,7.0,2005-01-01 00:00:00,0.0,Melhorar: Empenhar-se mais nas aulas e avaliações.,Melhorar: Melhorar a sua entrega de lições de casa.,Melhorar: Integrar-se mais aos Princípios Passos Mágicos.,,7,Fase 7 (3º EM),Masculino,8.8,10.0,5.0,17,4.5,,,5.951,,Não,8.7,Rede Decisão,,5.6,5.278,2.8,Aluno-4,4.0,Ametista,,,Ametista,Quartzo,,3.5,RA-4,Promovido de Fase,Mantido na Fase atual,Mantido na Fase atual,Mantido na Fase atual,Requer avaliação,A,5.951,Ametista,3.0,0.0,0.0,3.0,1.0,0.0,3.0
2016,2005,2022,0,,Avaliador-5,Avaliador-27,Avaliador-28,Avaliador-31,,,6.0,344.0,2.0,2005-01-01 00:00:00,0.0,Melhorar: Empenhar-se mais nas aulas e avaliações.,Destaque: A sua boa entrega das lições de casa.,Melhorar: Integrar-se mais aos Princípios Passos Mágicos.,,7,Fase 7 (3º EM),Feminino,7.9,10.0,5.2,17,8.6,,,7.427,,Não,5.7,Rede Decisão,,5.6,7.389,7.0,Aluno-5,4.0,Ametista,,,Ametista,Ametista,,2.9,RA-5,Promovido de Fase,Promovido de Fase + Bolsa,Promovido de Fase + Bolsa,Promovido de Fase + Bolsa,Requer avaliação,A,7.427,Ametista,3.0,0.0,0.0,3.0,3.0,0.0,3.0
2021,2004,2022,0,,Avaliador-5,Avaliador-27,Avaliador-28,Avaliador-31,,,16.0,745.0,8.0,2004-01-01 00:00:00,-1.0,Melhorar: Empenhar-se mais nas aulas e avaliações.,Melhorar: Melhorar a sua entrega de lições de casa.,Melhorar: Integrar-se mais aos Princípios Passos Mágicos.,,7,Fase 8 (Universitários),Feminino,7.9,5.0,3.3,18,4.5,,,5.848,,Sim,2.3,Escola Pública,,7.5,7.222,2.3,Aluno-6,4.0,nan,,,Ágata,Quartzo,,5.3,RA-6,Promovido de Fase,Promovido de Fase + Bolsa,Promovido de Fase + Bolsa,Mantido na Fase atual,Sem limitações,A,5.848,nan,0.0,0.0,0.0,2.0,1.0,0.0,0.0
2017,2004,2022,0,,Avaliador-5,Avaliador-27,Avaliador-28,Avaliador-31,,,11.0,550.0,5.0,2004-01-01 00:00:00,-1.0,Destaque: As suas boas notas na Passos Mágicos.,Destaque: A sua boa entrega das lições de casa.,Destaque: A sua boa integração aos Princípios Passos Mágicos.,,7,Fase 8 (Universitários),Masculino,0.0,5.0,7.6,18,8.4,,,6.818,,Não,9.0,Rede Decisão,,7.5,7.667,8.2,Aluno-7,4.0,Ametista,,,Ametista,Ágata,,5.7,RA-7,Promovido de Fase,Promovido de Fase + Bolsa,Promovido de Fase + Bolsa,Mantido na Fase atual,Sem limitações,A,6.818,Ametista,3.0,0.0,0.0,3.0,2.0,0.0,3.0
2018,2002,2022,0,,Avaliador-5,Avaliador-27,Avaliador-28,Avaliador-31,,,21.0,836.0,13.0,2002-01-01 00:00:00,-1.0,Melhorar: Empenhar-se mais nas aulas e avaliações.,Melhorar: Melhorar a sua entrega de lições de casa.,Melhorar: Integrar-se mais aos Princípios Passos Mágicos.,,7,Fase 8 (Universitários),Feminino,7.1,5.0,1.6,20,4.6,,,4.786,,Não,2.9,Escola Pública,,6.3,6.278,1.2,Aluno-8,4.0,Quartzo,,,Ágata,Quartzo,,0.7,RA-8,Mantido na Fase atual,Mantido na Fase atual,Mantido na Fase atual,Mantido na Fase atual,Requer avaliação,A,4.786,Quartzo,1.0,0.0,0.0,2.0,1.0,0.0,1.0
2019,2004,2022,1,,Avaliador-5,Avaliador-27,Avaliador-28,Avaliador-31,,,1.0,113.0,1.0,2004-01-01 00:00:00,-1.0,Melhorar: Empenhar-se mais nas aulas e avaliações.,Destaque: A sua boa entrega das lições de casa.,Destaque: A sua boa integração aos Princípios Passos Mágicos.,,7,Fase 8 (Universitários),Feminino,8.8,5.0,6.7,18,9.5,,,8.109,,Sim,8.7,Escola Pública,,7.5,9.5,5.5,Aluno-9,4.0,Ametista,,,Ametista,Topázio,,6.0,RA-9,Promovido de Fase,Mantido na Fase atual,Promovido de Fase + Bolsa,Mantido na Fase + Bolsa,Sem limitações,A,8.109,Ametista,3.0,0.0,0.0,3.0,4.0,0.0,3.0
2021,2004,2022,0,,Avaliador-5,Avaliador-27,Avaliador-28,Avaliador-31,,,17.0,752.0,9.0,2004-01-01 00:00:00,-1.0,Melhorar: Empenhar-se mais nas aulas e avaliações.,Melhorar: Melhorar a sua entrega de lições de casa.,Melhorar: Integrar-se mais aos Princípios Passos Mágicos.,,7,Fase 8 (Universitários),Feminino,8.3,5.0,4.1,18,5.2,,,5.784,,Não,6.4,Escola Pública,,5.0,7.056,3.3,Aluno-10,4.0,nan,,,Ágata,Quartzo,,2.6,RA-10,Promovido de Fase,Mantido na Fase atual,Mantido na Fase atual,Mantido na Fase atual,Requer avaliação,A,5.784,nan,0.0,0.0,0.0,2.0,1.0,0.0,0.0
